index_mode,query_mode,radius_km,fallback,mAP@1k,R@1,R@5,R@10,dist@1km,dist@25km,dist@200km,dist@750km,dist@2500km,empty_rate,mean_candidates,median_candidates,rerank_ms_per_query,geoclip_ms_per_query,s4g_embed_ms_per_query,total_ms_per_query,total_queries
query,all,2000.0,fallback_full,0.12988351458487415,0.060199058219178085,0.18220248287671234,0.2680329623287671,0.0958369006849315,0.20200128424657535,0.2610766267123288,0.4972709760273973,0.9099957191780822,0.0002675513698630137,622.0050299657535,705.0,0.006944475949052976,26.84911767224947,8.83927891865749,35.69534106685602,18688
query,all,inf,fail,0.11362633463853988,0.05169092465753425,0.15566138698630136,0.23378638698630136,0.08443921232876712,0.18498501712328766,0.23351883561643835,0.4190389554794521,0.7597388698630136,0.0,1000.0,1000.0,0.006713504237816541,26.84911767224947,8.83927891865749,35.69511009514478,18688
query,all,inf,fallback_full,0.11362633463853988,0.05169092465753425,0.15566138698630136,0.23378638698630136,0.08443921232876712,0.18498501712328766,0.23351883561643835,0.4190389554794521,0.7597388698630136,0.0,1000.0,1000.0,0.006674099096602582,26.84911767224947,8.83927891865749,35.69507069000356,18688
full,one_per_landmark,5.0,fail,0.08152160251974373,0.053,0.105,0.128,0.089,0.248,0.44,0.717,0.936,0.0,46.955,38.0,0.1019573719240725,28.741196921095252,10.806596065405756,39.64975035842508,1000
full,one_per_landmark,5.0,fallback_full,0.08152160251974373,0.053,0.105,0.128,0.089,0.248,0.44,0.717,0.936,0.0,46.955,38.0,0.05874935816973448,28.741196921095252,10.806596065405756,39.60654234467074,1000
full,one_per_landmark,25.0,fail,0.07444289200149083,0.044,0.104,0.128,0.077,0.25,0.438,0.718,0.935,0.0,420.327,211.0,0.0581542793661356,28.741196921095252,10.806596065405756,39.605947265867144,1000
full,one_per_landmark,25.0,fallback_full,0.07444289200149083,0.044,0.104,0.128,0.077,0.25,0.438,0.718,0.935,0.0,420.327,211.0,0.05857422249391675,28.741196921095252,10.806596065405756,39.606367208994925,1000
full,one_per_landmark,100.0,fail,0.0743474074942989,0.044,0.106,0.125,0.077,0.218,0.435,0.719,0.935,0.0,1949.271,1135.0,0.056913345120847225,28.741196921095252,10.806596065405756,39.604706331621855,1000
full,one_per_landmark,100.0,fallback_full,0.0743474074942989,0.044,0.106,0.125,0.077,0.218,0.435,0.719,0.935,0.0,1949.271,1135.0,0.06045322399586439,28.741196921095252,10.806596065405756,39.60824621049687,1000
full,one_per_landmark,500.0,fail,0.06592719588184735,0.036,0.095,0.121,0.055,0.148,0.288,0.711,0.937,0.0,15319.364,14547.5,0.056628402788192034,28.741196921095252,10.806596065405756,39.6044213892892,1000
full,one_per_landmark,500.0,fallback_full,0.06592719588184735,0.036,0.095,0.121,0.055,0.148,0.288,0.711,0.937,0.0,15319.364,14547.5,0.056041719391942024,28.741196921095252,10.806596065405756,39.60383470589295,1000
full,one_per_landmark,2000.0,fail,0.0449046422050741,0.022,0.061,0.084,0.032,0.1,0.155,0.428,0.918,0.0,62810.016,69503.0,0.056528742890805006,28.741196921095252,10.806596065405756,39.60432172939181,1000
full,one_per_landmark,2000.0,fallback_full,0.0449046422050741,0.022,0.061,0.084,0.032,0.1,0.155,0.428,0.918,0.0,62810.016,69503.0,0.05597160989418626,28.741196921095252,10.806596065405756,39.603764596395195,1000
full,one_per_landmark,inf,fail,0.03788529899406036,0.02,0.047,0.069,0.03,0.089,0.127,0.349,0.763,0.0,100539.0,100539.0,0.056166896130889654,28.741196921095252,10.806596065405756,39.6039598826319,1000
full,one_per_landmark,inf,fallback_full,0.03788529899406036,0.02,0.047,0.069,0.03,0.089,0.127,0.349,0.763,0.0,100539.0,100539.0,0.05643273890018463,28.741196921095252,10.806596065405756,39.60422572540119,1000
full,all,5.0,fail,0.1253132523314869,0.0822452910958904,0.1664169520547945,0.21034888698630136,0.1485980308219178,0.3639768835616438,0.4862478595890411,0.7139875856164384,0.9151862157534246,0.0,54.73581977739726,52.0,0.051720585822158056,27.69300742743139,8.77321451096652,36.51794252422007,18688
full,all,5.0,fallback_full,0.1253132523314869,0.0822452910958904,0.1664169520547945,0.21034888698630136,0.1485980308219178,0.3639768835616438,0.4862478595890411,0.7139875856164384,0.9151862157534246,0.0,54.73581977739726,52.0,0.051527046146986,27.69300742743139,8.77321451096652,36.517748984544895,18688
full,all,25.0,fail,0.11383100014521051,0.07288099315068493,0.1540560787671233,0.1968642979452055,0.13152825342465754,0.3644049657534247,0.4855522260273973,0.7141481164383562,0.915132705479452,0.0,530.9264768835617,312.0,0.051251484676382235,27.69300742743139,8.77321451096652,36.51747342307429,18688
full,all,25.0,fallback_full,0.11383100014521051,0.07288099315068493,0.1540560787671233,0.1968642979452055,0.13152825342465754,0.3644049657534247,0.4855522260273973,0.7141481164383562,0.915132705479452,0.0,530.9264768835617,312.0,0.05118701054713823,27.69300742743139,8.77321451096652,36.51740894894505,18688
full,all,100.0,fail,0.10175945502360455,0.06035958904109589,0.14116010273972604,0.187767551369863,0.11579623287671233,0.313035102739726,0.4849636130136986,0.7153253424657534,0.9144370719178082,0.0,2176.2330372431506,1307.0,0.050512310399551084,27.69300742743139,8.77321451096652,36.51673424879746,18688
full,all,100.0,fallback_full,0.10175945502360455,0.06035958904109589,0.14116010273972604,0.187767551369863,0.11579623287671233,0.313035102739726,0.4849636130136986,0.7153253424657534,0.9144370719178082,0.0,2176.2330372431506,1307.0,0.0504662921105604,27.69300742743139,8.77321451096652,36.51668823050847,18688
full,all,500.0,fail,0.08339577518468401,0.04505565068493151,0.1149935787671233,0.16283176369863014,0.0879708904109589,0.22554580479452055,0.3461044520547945,0.707833904109589,0.9167380136986302,0.0,15916.164758133562,14560.0,0.04987377836448714,27.69300742743139,8.77321451096652,36.51609571676239,18688
full,all,500.0,fallback_full,0.08339577518468401,0.04505565068493151,0.1149935787671233,0.16283176369863014,0.0879708904109589,0.22554580479452055,0.3461044520547945,0.707833904109589,0.9167380136986302,0.0,15916.164758133562,14560.0,0.04984337198811149,27.69300742743139,8.77321451096652,36.51606531038602,18688
full,all,2000.0,fail,0.054506738977004573,0.0234910102739726,0.07346960616438356,0.11558219178082192,0.0527076198630137,0.1564105308219178,0.21767979452054795,0.4558540239726027,0.908550941780822,0.0,62469.49063570205,69499.0,0.049646297268998454,27.69300742743139,8.77321451096652,36.51586823566691,18688
full,all,2000.0,fallback_full,0.054506738977004573,0.0234910102739726,0.07346960616438356,0.11558219178082192,0.0527076198630137,0.1564105308219178,0.21767979452054795,0.4558540239726027,0.908550941780822,0.0,62469.49063570205,69499.0,0.04961063680402482,27.69300742743139,8.77321451096652,36.515832575201934,18688
full,all,inf,fail,0.0479526318228188,0.02070847602739726,0.0626070205479452,0.09926155821917808,0.04666095890410959,0.1447452910958904,0.19467037671232876,0.3826519691780822,0.7577054794520548,0.0,100539.0,100539.0,0.049708795626902925,27.69300742743139,8.77321451096652,36.51593073402481,18688
full,all,inf,fallback_full,0.0479526318228188,0.02070847602739726,0.0626070205479452,0.09926155821917808,0.04666095890410959,0.1447452910958904,0.19467037671232876,0.3826519691780822,0.7577054794520548,0.0,100539.0,100539.0,0.04977649357847627,27.69300742743139,8.77321451096652,36.515998431976385,18688
