epoch,loss,diag_sim,offdiag_sim,sim_margin,batch_acc,temperature,lr,epoch_seconds
1,3.886533135915325,0.15365975594868625,0.09929294071167055,0.054366815237015705,0.06985629562043795,0.07008448243141174,5.5e-05,250.57748746871948
2,3.397605790709057,0.34025143614433107,0.20971968908705851,0.13053174708446447,0.13885720802919707,0.0702599510550499,0.0001,244.78419184684753
3,3.079973225175899,0.39555703582119767,0.20811687322863698,0.18744016264694452,0.1933736313868613,0.07021129131317139,9.92479837741043e-05,244.67939066886902
4,3.131437684497694,0.44841009769996587,0.2597198198637823,0.18869027772741595,0.20124315693430658,0.07017569243907928,9.701478472890247e-05,377.7956762313843
5,3.0236755061323626,0.4520484030681805,0.24560496379641722,0.2064434394892985,0.2270757299270073,0.06989613175392151,9.336825748732972e-05,380.0711054801941
6,2.944479314950261,0.4379849594874974,0.2199665726210079,0.21801838686648947,0.24703467153284672,0.06948801875114441,8.84191999343894e-05,376.94103479385376
7,2.8637372446756295,0.4353136083070379,0.20514846261400377,0.23016514569303415,0.2655109489051095,0.06889799237251282,8.231798667948369e-05,379.0230236053467
8,2.7779194255814934,0.42442510543513473,0.18477382364064238,0.23965128184887616,0.28706660583941607,0.06816569715738297,7.524999999999999e-05,377.03933811187744
9,2.7280642907984936,0.42619799686609394,0.1782861069443017,0.24791189032967073,0.3005816605839416,0.06750495731830597,6.74299970946206e-05,379.45449662208557
10,2.6568234923982272,0.41572749886634575,0.16197694427449338,0.2537505545646605,0.315408302919708,0.06673841923475266,5.909558479451305e-05,378.01495337486267
11,2.6012017761703827,0.4039587775503632,0.14739471847993613,0.2565640589072756,0.3333713503649635,0.06603020429611206,5.049999999999999e-05,379.37624979019165
12,2.5114596098878956,0.40337239553893567,0.13745951573670345,0.2659128796118889,0.35241788321167883,0.06531258672475815,4.190441520548694e-05,379.6098544597626
13,2.482591662528741,0.40266814904056325,0.13411777401275007,0.2685503744839752,0.361827098540146,0.06474974006414413,3.357000290537941e-05,379.6836271286011
14,2.424862313444597,0.40814298935180165,0.1329735397313633,0.2751694491309841,0.38047445255474455,0.06425978243350983,2.575000000000001e-05,380.01465034484863
15,2.3721039169026117,0.3993968601426939,0.12021765169979882,0.279179209557763,0.3893704379562044,0.0638740211725235,1.86820133205163e-05,380.04916763305664
16,2.334757976288343,0.40458763407094633,0.12033570663881128,0.28425192751371076,0.39655565693430656,0.06358903646469116,1.2580800065610593e-05,379.5438811779022
17,2.3290335984125625,0.4013370370125248,0.11768520509239531,0.2836518318657457,0.4010036496350365,0.0634038969874382,7.631742512670295e-06,379.49931955337524
18,2.2760287819117524,0.4043883966268414,0.11535482886281327,0.28903356678511977,0.411154197080292,0.06328234821557999,3.985215271097538e-06,379.29286003112793
19,2.2954037563644185,0.3966961996833773,0.11261847824619635,0.2840777211924539,0.41092609489051096,0.06322075426578522,1.752016225895703e-06,379.5649130344391
20,2.291886022056106,0.39624764753954256,0.11115354837944907,0.28509409894255827,0.41491788321167883,0.06319525092840195,1.0000000000000002e-06,369.07311749458313
