epoch,loss,diag_sim,offdiag_sim,sim_margin,batch_acc,temperature,lr,epoch_seconds
1,2.2164588460839654,0.19198767697895344,0.1330783888765542,0.05890928814484786,0.33226982680036465,0.0704301968216896,3.9999999999999996e-05,2379.951559305191
2,1.9678026908293786,0.3280289292321927,0.21749150689857705,0.11053742236757452,0.48604147675478576,0.07155480235815048,7e-05,2367.6376354694366
3,1.8455806407693742,0.42027788266281485,0.28048435132016675,0.13979353132906455,0.5701914311759344,0.07325160503387451,0.0001,2382.691931962967
4,1.795010765547522,0.47626998399807957,0.32166898237675456,0.15460100170282634,0.5966841385597083,0.0755944475531578,9.97758601673677e-05,2354.840513944626
5,2.2242447928395617,0.5351030729853683,0.48806267979477574,0.047040393190592555,0.37215132178669097,0.07651732861995697,9.9105470514504e-05,2702.750031709671
6,2.1503223663802133,0.5039539933747993,0.44025242052897606,0.06370157284582324,0.4303783044667274,0.07637100666761398,9.799490219391765e-05,2692.0817193984985
7,2.095234308442748,0.47378939680870596,0.3983671952483865,0.07542220156031951,0.47726754785779396,0.07497932761907578,9.645421268429561e-05,2705.4931423664093
8,2.017589823756309,0.45655629885066285,0.3653100775104821,0.09124622134018075,0.5324179580674567,0.07274110615253448,9.449735470841874e-05,2711.040232181549
9,1.9516978719719127,0.44514642259209614,0.3421232242038713,0.10302319839501664,0.5813582497721057,0.06990879774093628,9.214204987514348e-05,2725.096310853958
10,1.8920096894123386,0.4380883548812857,0.3259872361718793,0.11210111870940642,0.6144029170464904,0.06683317571878433,8.9409628189768e-05,2689.1511385440826
11,1.8451868159290652,0.4280148032804783,0.30924709059073907,0.1187677126897392,0.6490998176845943,0.06415493786334991,8.632483488620098e-05,2718.577226638794
12,1.7616563012845536,0.4226258203400844,0.2926509389373641,0.12997488140951208,0.6936531449407475,0.06091349199414253,8.291560633029163e-05,2738.9965653419495
13,1.7200903277997006,0.42722115530517824,0.2928466683588141,0.13437448694636414,0.7205446672743847,0.05854253098368645,7.921281702377432e-05,2718.7305183410645
14,1.6596918045224769,0.4210773266057264,0.2798364787016984,0.14124084791081976,0.7564949863263446,0.05613839626312256,7.525000000000001e-05,2709.817842721939
15,1.6196345227788336,0.4216488337342915,0.2771154177954986,0.14453341592520938,0.7744986326344576,0.05418930575251579,7.106304314359339e-05,2710.0097897052765
16,1.5639558061753607,0.4181547592391507,0.26667490556713874,0.15147985369238728,0.8011052871467639,0.05252499133348465,6.668986418421237e-05,2707.079998731613
17,1.517308119952733,0.41881120335327676,0.2620674698743477,0.15674373348572088,0.8236098450319052,0.05121704936027527,6.217006730771666e-05,2722.4996707439423
18,1.4814630371935278,0.4194099503070958,0.25979749197539354,0.15961245834528584,0.8437215132178669,0.04990081861615181,5.754458449452763e-05,2704.8232576847076
19,1.451439929910432,0.4166049304042171,0.2545644160268409,0.1620405143909598,0.8566545123062899,0.04886450618505478,5.285530483327526e-05,2686.91686463356
20,1.4224336947379812,0.4171435789781586,0.2517679171023743,0.16537566187578434,0.8713536918869644,0.04810909181833267,4.814469516672477e-05,2686.3520953655243
21,1.3809194083146432,0.41280905876576957,0.24317951028387222,0.16962954850227266,0.8900979945305378,0.047270167618989944,4.34554155054724e-05,2686.4122500419617
22,1.3497959753004334,0.4155382204430692,0.24208010515111517,0.17345811529874583,0.9010369188696444,0.04664277285337448,3.8829932692283375e-05,2686.285846233368
23,1.327552547510255,0.4127561928553264,0.23713454763076472,0.17562164523135346,0.9078737465815861,0.04616126790642738,3.431013581578764e-05,2686.6754031181335
24,1.3006626272755748,0.411005489779475,0.2323763752347682,0.17862911454470676,0.914482680036463,0.045743707567453384,2.993695685640663e-05,2686.1861395835876
25,1.280043220101646,0.41354433921867867,0.2327404992490219,0.1808038399560732,0.9222880583409299,0.0453796312212944,2.5750000000000023e-05,2688.5260524749756
26,1.2494814149770501,0.41215779624858984,0.2276268066429179,0.18453098957850483,0.9373860528714676,0.04500158876180649,2.1787182976225707e-05,2687.020742416382
