epoch,loss,diag_sim,offdiag_sim,sim_margin,batch_acc,temperature,lr,epoch_seconds
1,2.9348364854358824,0.19130991077357895,0.13970590140347927,0.05160400934293255,0.19473564266180493,0.07022975385189056,3.9999999999999996e-05,542.7900214195251
2,2.638264965989314,0.33157734528061683,0.22721765964625637,0.10435968564115226,0.33597310847766637,0.07082385569810867,7e-05,527.1966185569763
3,2.440967055158172,0.4065017897428549,0.2624949378894477,0.14400685189415785,0.43277119416590704,0.07151415944099426,0.0001,525.7107999324799
4,2.3278702798493907,0.4351724376978392,0.2664012817110707,0.16877115597318496,0.48701002734731086,0.07225319743156433,9.97758601673677e-05,526.015086889267
5,2.854140733303324,0.49283299317333845,0.43856430224863746,0.05426869092470098,0.27455560619872377,0.07249556481838226,9.9105470514504e-05,849.4310810565948
6,2.7575172784660986,0.4500131672256734,0.3777017436086208,0.07231142361705262,0.3372265268915223,0.07152241468429565,9.799490219391765e-05,844.6882865428925
7,2.662378772346128,0.43271689199814495,0.34444852684070115,0.08826836515744382,0.4027461257976299,0.06945358961820602,9.645421268429561e-05,846.5212452411652
8,2.574877744820733,0.4231477264610332,0.321099225115863,0.10204850134517023,0.44433682771194166,0.06690268218517303,9.449735470841874e-05,845.3325004577637
9,2.4584742438934453,0.4161906016883572,0.2972676294466095,0.11892297224174768,0.5111668185961714,0.06390377134084702,9.214204987514348e-05,843.2481586933136
10,2.382556115048738,0.41162033991696295,0.2840024729071689,0.12761786700979405,0.5529854147675478,0.06103740260004997,8.9409628189768e-05,839.4246678352356
11,2.2906414194333085,0.410638819690607,0.27315288107017005,0.13748593862043693,0.5991909753874203,0.05813873931765556,8.632483488620098e-05,840.5220112800598
12,2.21793829405862,0.4035632414717835,0.25903787508049986,0.14452536639128366,0.6345145852324522,0.05566941201686859,8.291560633029163e-05,841.5216505527496
13,2.124203418642147,0.40069579983040104,0.24614810177490945,0.15454769805549162,0.6778144940747494,0.05334367975592613,7.921281702377432e-05,844.9766983985901
14,2.0646523319816414,0.39678612098763394,0.2383588695102316,0.15842725150456946,0.7077825888787602,0.05125794932246208,7.525000000000001e-05,842.2703173160553
15,2.000846127868242,0.39869224927375396,0.23552997808295592,0.1631622711772145,0.7362123974475843,0.04943925887346268,7.106304314359339e-05,843.2190847396851
16,1.9122962158380472,0.3989286827247797,0.22749303384542247,0.17143564887935722,0.772732452142206,0.04774940013885498,6.668986418421237e-05,847.6225793361664
17,1.8711030825551467,0.3980362162659575,0.22440359515283145,0.1736326210859589,0.7849817684594348,0.04639329016208649,6.217006730771666e-05,843.9473373889923
18,1.8089139280041022,0.39583765080329386,0.21683081231990942,0.17900683845621734,0.8126709206927986,0.045250602066516876,5.754458449452763e-05,843.865282535553
19,1.7818347510143966,0.39381195114434797,0.21409202735860888,0.179719923758572,0.8193938012762079,0.04432809725403786,5.285530483327526e-05,845.3069291114807
20,1.71647801199281,0.3918399718694504,0.20648449522153617,0.18535547664791427,0.8486212397447584,0.04345470294356346,4.814469516672477e-05,855.2321670055389
21,1.6734614509175665,0.395355215182387,0.20677939998690606,0.18857581514114669,0.8626367365542388,0.04269696772098541,4.34554155054724e-05,845.5637032985687
22,1.6575456299125442,0.39278562976864106,0.20401144846798402,0.18877418134140772,0.8655423883318141,0.042130593210458755,3.8829932692283375e-05,846.6855187416077
23,1.6056024481626456,0.3955266141793678,0.2012569090264867,0.1942697051392975,0.8845715587967183,0.041718803346157074,3.431013581578764e-05,845.4940612316132
24,1.591917501217469,0.39014009909947134,0.1959975816737334,0.19414251739857083,0.889813126709207,0.04133332520723343,2.993695685640663e-05,846.3717393875122
25,1.5381411806278698,0.3912589110726102,0.1919663670585714,0.19929254402762234,0.9082725615314494,0.04097413644194603,2.5750000000000023e-05,846.3810062408447
26,1.5278755072147714,0.3897096296006588,0.19057068922841341,0.1991389403858289,0.9077597994530537,0.04067154973745346,2.1787182976225707e-05,845.5982246398926
27,1.5060152207707533,0.3894335297475431,0.18827790999233235,0.20115561972125182,0.9195533272561531,0.04043055698275566,1.8084393669708402e-05,844.5188250541687
28,1.4875529537227008,0.38834186763576517,0.18528146900528653,0.20306039869839643,0.9194393801276208,0.04024340584874153,1.4675165113799033e-05,844.2641491889954
29,1.4596518545446335,0.38971478711395996,0.184029521880741,0.20568526530113673,0.9280993618960802,0.04009838402271271,1.1590371810232024e-05,852.8694114685059
30,1.4532139541457323,0.3886331939762467,0.18225831232129605,0.20637488165495063,0.9303213309024613,0.040000151842832565,8.857950124856541e-06,849.0098750591278
31,1.444179373756798,0.38802146952371763,0.18132469659788344,0.2066967729530013,0.9329990884229717,0.039915889501571655,6.502645291581296e-06,848.6453809738159
32,1.4439491336739052,0.38861529573920434,0.18183413864458922,0.20678115711499043,0.9309480401093893,0.039859235286712646,4.54578731570441e-06,850.4076211452484
33,1.422968904756913,0.38908064430588035,0.1804272234100261,0.20865342086189534,0.9353919781221514,0.03981507942080498,3.005097806082387e-06,847.969446182251
34,1.417766283399535,0.3884471051782071,0.1790235222418306,0.20942358296354358,0.9398359161349134,0.03978702053427696,1.8945294854960241e-06,846.5940310955048
35,1.4250209204370365,0.38651816583592563,0.17814044475066412,0.20837772100376017,0.9372721057429353,0.03976800665259361,1.2241398326323132e-06,852.3378822803497
36,1.425570104376446,0.38684085655342804,0.1783076678704107,0.20853318871697624,0.9345373746581586,0.039756570011377335,1.0000000000000002e-06,849.0778641700745
